Default Report
Last Modified: 2018-03-25 15:18:48 HKT


Q2 - 性別
#,Answer,%,Count
,Total,100%,218

Q11 - 您來自於：
#,Answer,%,Count
1,中國內地,93.12%,203
2,香港,6.42%,14
3,其他,0.46%,1
,Total,100%,218

Q13 - 您的月收入是：
#,Answer,%,Count
1,無,60.10%,122
2,"低於 RMB 3,000",13.30%,27
3,"RMB 3,000至RMB 5,000",8.87%,18
4,"RMB 5,000至 RMB 10,000",11.33%,23
5,"RMB 10,000至 RMB 20,000",4.93%,10
6,"RMB 20,000至 RMB 50,000",0.99%,2
7,"RMB 50,000以上",0.49%,1
,Total,100%,203

Q14 - 您的月收入是：
#,Answer,%,Count
1,無,14.29%,2
2,"低於HK＄12,000",50.00%,7
3,"HK＄12,000至 HK＄20,000",28.57%,4
4,"HK＄20,000至 HK＄30,000",0.00%,0
5,"HK＄30,000至 HK＄50,000",7.14%,1
6,"HK＄50,000至 HK＄100,000",0.00%,0
7,"HK＄100,000以上",0.00%,0
,Total,100%,14

Q7_12_TEXT - Sentiment
Answer,%,Count
Neutral,100.00%,4
Total,100%,4

Q7_12_TEXT - Topics
Answer,%,Count
Unknown,100.00%,4
Total,100%,4
